,0
0,1362955.9667636608
1,1366006.9795861016
2,1374494.7760094733
3,1375344.378456191
4,1369345.1655598495
5,1368883.7777483352
6,1338045.3452705946
7,1323184.135078997
8,1318246.7906159156
9,1316928.5594849372
10,1316928.5594849372
11,1316928.5594849372
12,1316624.493455058
13,1314009.542561684
14,1320171.5886588644
15,1322086.3578997138
16,1320141.6170452354
17,1322310.6983829988
18,1328139.0969373768
19,1327703.173711237
20,1320163.597366623
21,1313264.7336985052
22,1309034.0441884517
23,1297665.714344573
24,1308685.025987931
25,1302209.2013170698
26,1310342.3372921725
27,1307839.6347243318
28,1297638.6342247361
29,1273071.4710263736
30,1271455.1595424304
31,1282333.0179732174
32,1297647.2845212042
33,1298819.0543114427
34,1289558.128008968
35,1258681.348592876
36,1260145.7809929615
37,1245823.2118690296
38,1258524.4697016557
39,1239874.2013559223
40,1258687.451249019
41,1270452.0288424792
42,1281169.1705010792
43,1279728.611717296
44,1272179.4166860308
45,1272821.9301611895
46,1278823.8016150163
47,1300860.211995433
48,1318780.600094071
49,1323081.4662449497
50,1325062.7491040195
51,1329191.9744231268
52,1336191.4851000216
53,1337924.323685425
54,1336586.4032458044
55,1336586.4032458044
56,1336586.4032458044
57,1336586.4032458044
58,1336586.4032458044
59,1336586.4032458044
60,1336586.4032458044
61,1336586.4032458044
62,1336586.4032458044
