,0
0,1079225.46622749
1,1087101.6021127522
2,1092833.6176450707
3,1086968.7920397855
4,1090864.4921520497
5,1090832.369904294
6,1089439.9211457123
7,1096199.6926369919
8,1095346.1307613165
9,1093657.0310415374
10,1086995.0076413911
11,1082168.3459147373
12,1087825.103916922
13,1096348.3246214262
14,1100421.5475324937
15,1100519.985707913
16,1096755.9403263796
17,1083080.452130995
18,1076049.3656323783
19,1076450.5439832108
20,1077795.3106693032
21,1087889.6412660182
22,1085231.7668962306
23,1083572.0192819797
24,1087922.6257473235
25,1096049.369258103
26,1096247.7229162503
27,1101420.3844253696
28,1102247.1141744438
29,1099148.4581556283
30,1105296.129910397
31,1110518.529651315
32,1111116.9107588334
33,1109589.1988857642
34,1114450.881303882
35,1115265.9478809931
36,1107115.794833466
37,1110465.674270998
38,1120286.8624879422
39,1108671.6013700846
40,1108502.5095868197
41,1101910.9008911857
42,1112232.1820468314
43,1119653.0432452809
44,1115634.4997642713
45,1123481.797839339
46,1122913.916288709
47,1130535.2052107842
48,1139886.1217825322
49,1145587.7920544194
50,1140130.3949466913
51,1139847.8845661331
52,1139792.5227146286
53,1140312.7968563815
54,1123190.8963779646
55,1131560.0798844718
56,1131920.049897585
57,1139977.1886671982
58,1138837.2321778603
59,1139483.239508648
60,1142168.2331397342
61,1143831.1708440068
62,1145041.8844031757
