,0
0,1145041.8844031757
1,1146020.266073837
2,1145481.135991837
3,1145481.135991837
4,1144519.067679562
5,1143821.9335428716
6,1141145.591335735
7,1140803.7864589512
8,1140803.7864589512
9,1138643.7916941687
10,1128966.448181354
11,1115782.0803149764
12,1113185.7505280117
13,1088603.362543344
14,1081414.9210101112
15,1109257.2937060383
16,1091121.4446980804
17,1117064.7336049462
18,1093134.9789935262
19,1086792.4575263865
20,1025233.2938451436
21,1024531.9395195708
22,1024531.9395195708
23,1024531.9395195708
24,1024531.9395195708
25,1024531.9395195708
26,1024531.9395195708
27,1024531.9395195708
28,1024531.9395195708
29,1024531.9395195708
30,1024531.9395195708
31,1024531.9395195708
32,1024531.9395195708
33,1024531.9395195708
34,1018880.3237126751
35,1018742.0076613963
36,1018742.0076613963
37,1018742.0076613963
38,1018742.0076613963
39,1018742.0076613963
40,1018742.0076613963
41,1018742.0076613963
42,1018742.0076613963
43,1018742.0076613963
44,1017874.2088638159
45,1017761.7457112314
46,1017761.7457112314
47,1017761.7457112314
48,1017761.7457112314
49,1017761.7457112314
50,1017761.7457112314
51,1017761.7457112314
52,1017761.7457112314
53,1017761.7457112314
54,1017761.7457112314
55,1017761.7457112314
56,1020064.2977907804
57,1019942.6278934638
58,1019942.6278934638
59,1019620.4900482125
60,1019533.771221679
61,1019533.771221679
62,1019533.771221679
