,0
0,1209036.7848242195
1,1216141.4026180902
2,1216923.2011179335
3,1215942.9144701161
4,1214966.2831785572
5,1214166.6750975512
6,1215651.0807288508
7,1215735.3817956843
8,1212571.4454517288
9,1212880.712686679
10,1213744.3733981035
11,1226392.143346503
12,1225783.8343359698
13,1224066.2841136423
14,1229174.068771273
15,1228917.9026424903
16,1228980.2109574254
17,1221761.8444249043
18,1229103.2341783277
19,1239778.7027681032
20,1238876.5163347237
21,1254872.0941791916
22,1260508.108777452
23,1273067.943457263
24,1274387.745189522
25,1264563.4304934707
26,1269475.644064401
27,1272271.6107743785
28,1267427.6848047127
29,1270546.5503620892
30,1261367.725219084
31,1258619.6916743398
32,1264024.663540149
33,1281559.6992562783
34,1283123.8436091235
35,1279848.2464025894
36,1273408.3108882983
37,1277314.511268616
38,1290162.3555395608
39,1285917.2757908173
40,1286932.6126280366
41,1286985.1413798397
42,1300431.7123286868
43,1299532.1189746663
44,1290658.9558758975
45,1294212.1977949198
46,1307185.979133466
47,1315867.2581442
48,1310882.881620509
49,1320172.526470756
50,1335432.154617626
51,1322108.4835960201
52,1332353.5099875936
53,1326989.4988968608
54,1328964.9578390445
55,1326531.7314682198
56,1339441.8796882937
57,1329110.3914679366
58,1341320.2734471553
59,1343026.9450134714
60,1341230.4657225248
61,1356808.9453378273
62,1356499.9590050785
