,0
0,1002021.4133905121
1,1015307.2484280718
2,1001682.6120300597
3,1017225.6360773231
4,987332.1503324381
5,994468.0142005748
6,1007709.4765423734
7,1017625.0035513733
8,1010523.5397687721
9,1020649.0603174398
10,1022288.3488852183
11,995911.5897594602
12,1008878.8869670406
13,1007927.1423754395
14,1015678.9800334632
15,1031111.9143792473
16,1030772.4066822585
17,1024652.1249264806
18,1037297.0428335759
19,1056613.2418961974
20,1059944.571498849
21,1057334.6687621125
22,1052401.2135112088
23,1052251.302316325
24,1061610.4464546228
25,1062520.7980632966
26,1055526.9364667952
27,1057128.2192330621
28,1060012.1421299598
29,1061527.0454149253
30,1055003.5222763254
31,1057355.3881345813
32,1051493.950527976
33,1062949.832795928
34,1065507.8044579448
35,1062819.100207699
36,1067613.222873846
37,1056846.3400608858
38,1037691.3268600687
39,1042621.7399828584
40,1058434.5636542935
41,1054896.9152075453
42,1038386.6988078828
43,1047266.1472396159
44,1054694.5315074234
45,1064633.318021281
46,1065990.9663071972
47,1079806.8425461007
48,1076100.1841281173
49,1071161.9431003307
50,1070530.5122787969
51,1076763.7606169917
52,1068788.3532803233
53,1067722.1759389325
54,1067383.465782038
55,1068513.9838995582
56,1074181.9753069405
57,1075357.8089608122
58,1081165.3556393846
59,1073122.8613730671
60,1084490.3900770706
61,1082584.3671504026
62,1079225.46622749
