,0
0,1019533.771221679
1,1019641.1300601284
2,1019409.7892734894
3,1014390.7969180754
4,1021377.0358254416
5,1026176.2394136188
6,1025509.799067261
7,1025509.799067261
8,1027902.9717146804
9,1027042.1999674913
10,1028088.5737718148
11,1040564.5426134034
12,1062599.6330295056
13,1059676.8049024437
14,1057261.3038213998
15,1060727.8065946936
16,1065571.9555701802
17,1085507.302719973
18,1082048.6505051043
19,1112875.095549828
20,1131241.5755404895
21,1114789.8145454107
22,1104370.1195075838
23,1033343.5991494906
24,1047601.7960274082
25,1055375.4311621564
26,1076037.3417843664
27,1073227.2839525987
28,1075380.7569573515
29,1072478.4369289323
30,1078717.0697861784
31,1084274.3246826173
32,1061088.2297652743
33,1071230.5423281707
34,1040634.4996122281
35,1052963.7917933438
36,1068154.9817870196
37,1077905.702241513
38,1080411.2688593282
39,1095962.901780585
40,1094866.9410688777
41,1096389.2984608947
42,1090276.460488524
43,1089804.9319908002
44,1089804.9319908002
45,1094382.8997241803
46,1097106.2804330173
47,1093214.1263348362
48,1093611.653877891
49,1100214.482243255
50,1103127.522831613
51,1108134.7847303508
52,1096713.805462746
53,1090311.7860940746
54,1094129.6318076728
55,1090351.9821018814
56,1094315.6351399862
57,1084220.2706640642
58,1082109.7089279497
59,1081027.5994586174
60,1081510.2869254542
61,1089688.9501620508
62,1094726.618196755
