,0
0,1311329.167114133
1,1312774.6943268224
2,1312590.3234371296
3,1312590.3234371296
4,1312590.3234371296
5,1312590.3234371296
6,1312590.3234371296
7,1312590.3234371296
8,1312590.3234371296
9,1312590.3234371296
10,1312590.3234371296
11,1312590.3234371296
12,1312590.3234371296
13,1312590.3234371296
14,1312590.3234371296
15,1312590.3234371296
16,1312590.3234371296
17,1312590.3234371296
18,1312590.3234371296
19,1312590.3234371296
20,1312590.3234371296
21,1312590.3234371296
22,1312590.3234371296
23,1312590.3234371296
24,1312590.3234371296
25,1312590.3234371296
26,1312590.3234371296
27,1312590.3234371296
28,1312590.3234371296
29,1312590.3234371296
30,1312590.3234371296
31,1312590.3234371296
32,1312590.3234371296
33,1312590.3234371296
34,1312590.3234371296
35,1312590.3234371296
36,1312590.3234371296
37,1312590.3234371296
38,1312590.3234371296
39,1312590.3234371296
40,1312590.3234371296
41,1312590.3234371296
42,1312590.3234371296
43,1312590.3234371296
44,1312590.3234371296
45,1312590.3234371296
46,1312590.3234371296
47,1312590.3234371296
48,1312590.3234371296
49,1312590.3234371296
50,1312590.3234371296
51,1312590.3234371296
52,1312590.3234371296
53,1312590.3234371296
54,1312590.3234371296
55,1312590.3234371296
56,1312590.3234371296
57,1312590.3234371296
58,1312590.3234371296
59,1312590.3234371296
60,1312590.3234371296
61,1312590.3234371296
62,1312590.3234371296
