,0
0,1356499.9590050785
1,1340986.1333279219
2,1310953.483256843
3,1328726.6060992044
4,1340733.1056491274
5,1339469.9530918002
6,1329194.4829425416
7,1322239.9262049552
8,1331526.1903926772
9,1333835.729511174
10,1342552.2132528673
11,1343258.5229870882
12,1344799.4978164968
13,1349606.5032418098
14,1350196.1600466236
15,1349017.5238627272
16,1350289.537865324
17,1341796.3619620735
18,1349735.6602830307
19,1349799.25363164
20,1355903.4058631128
21,1349700.0605909552
22,1354652.7086808914
23,1357721.100231874
24,1355933.8605273783
25,1351343.8187846604
26,1341749.284918464
27,1343584.3417744152
28,1333963.276037863
29,1352014.7263316852
30,1361540.8997867121
31,1357622.1262836598
32,1364091.1448850736
33,1363669.9148077467
34,1362308.40341443
35,1362308.33341443
36,1362308.14341443
37,1362306.02341443
38,1362306.62341443
39,1362307.01341443
40,1362222.895700703
41,1361434.4830919052
42,1364353.5696086984
43,1364326.6707635475
44,1360612.6885228558
45,1360580.421232583
46,1358726.0486586816
47,1351321.0448507287
48,1340939.6490677178
49,1352736.6723889178
50,1360204.0727532357
51,1361952.9723160933
52,1371208.4428054965
53,1375822.612612139
54,1364969.635436846
55,1367546.023201358
56,1369823.2015289157
57,1346169.7234178397
58,1345624.9808143647
59,1362432.75001306
60,1355395.768231552
61,1366669.8340946427
62,1362955.9667636608
