account_value,datadate,daily_return,Date
1000000.0,20190509,,2019-02-06
1000144.0004470786,20190510,0.00014400044707851833,2019-02-07
1000178.427872222,20190513,3.4422468292660824e-05,2019-02-08
1005877.730841747,20190514,0.005698286236436534,2019-02-11
1009897.3641224549,20190515,0.0039961450158998435,2019-02-12
1002180.4307677993,20190516,-0.00764130458084844,2019-02-13
1014725.8015398395,20190517,0.012518075974032872,2019-02-14
1012924.175385738,20190520,-0.0017754807765482106,2019-02-15
1014403.8662045344,20190521,0.00146081104070106,2019-02-19
1013689.6402447142,20190522,-0.000704084422008866,2019-02-20
1020669.8793598419,20190523,0.0068859726271273125,2019-02-21
1022383.103550058,20190524,0.0016785291942684744,2019-02-22
1022680.5098212673,20190528,0.0002908951352742495,2019-02-25
1020777.8331664742,20190529,-0.0018604800194399473,2019-02-26
1020029.1495171059,20190530,-0.0007334442667568108,2019-02-27
1026144.2232588356,20190531,0.005994999010199509,2019-02-28
1018585.1249840556,20190603,-0.007366506679513107,2019-03-01
1017203.7841584635,20190604,-0.0013561368526894269,2019-03-04
1011117.5287109232,20190605,-0.005983319706754253,2019-03-05
1001965.037158967,20190606,-0.009051857268882135,2019-03-06
1000060.1415337686,20190607,-0.001901159775594241,2019-03-07
1016656.0355047156,20190610,0.0165948959284532,2019-03-08
1019716.187194237,20190611,0.0030100167437674408,2019-03-11
1024142.9551331559,20190612,0.004341176490587184,2019-03-12
1026823.640473778,20190613,0.0026174913640582,2019-03-13
1035640.1595675279,20190614,0.008586205796432544,2019-03-14
1036891.3487911607,20190617,0.0012081312336857941,2019-03-15
1034597.2173612901,20190618,-0.002212508989051898,2019-03-18
1032323.5934346915,20190619,-0.002197593313074453,2019-03-19
1043394.5917400719,20190620,0.010724348814450169,2019-03-20
1029881.8272139387,20190621,-0.012950771101465919,2019-03-21
1027996.1311176408,20190624,-0.0018309829792794163,2019-03-22
1036863.2998328981,20190625,0.008625682964017445,2019-03-25
1033724.7167446871,20190626,-0.003026997955002164,2019-03-26
1038318.4115410278,20190627,0.0044438279572214245,2019-03-27
1043157.0733285493,20190628,0.004660094373497792,2019-03-28
1054636.9077412693,20190701,0.011004895337659582,2019-03-29
1052628.9968812545,20190702,-0.0019038882911041055,2019-04-01
1055826.9848720082,20190703,0.0030380960435525406,2019-04-02
1058965.7292681444,20190705,0.002972782890670933,2019-04-03
1065799.2129523023,20190708,0.006452979067491205,2019-04-04
1065051.6707154405,20190709,-0.0007013912449710391,2019-04-05
1055866.1034966295,20190710,-0.008624527308276675,2019-04-08
1056574.486999147,20190711,0.0006709027784599364,2019-04-09
1058543.7131742723,20190712,0.0018637835754657939,2019-04-10
1062683.3841032118,20190715,0.003910722700837477,2019-04-11
1060935.5574690416,20190716,-0.0016447294277074365,2019-04-12
1062429.0044657,20190717,0.00140766984963836,2019-04-15
