,0
0,1106772.1121407724
1,1129916.5554717751
2,1128735.6281892692
3,1139905.9336785674
4,1153522.929359906
5,1142064.0688147747
6,1153091.7490118877
7,1165587.6300544692
8,1162499.099232285
9,1150506.5642704347
10,1155218.8199493308
11,1147800.7313714838
12,1147437.295763797
13,1160655.2098928564
14,1158614.088783133
15,1160335.221464654
16,1156108.729293254
17,1172452.7047758182
18,1172188.9172213143
19,1171016.737852658
20,1171016.737852658
21,1171016.737852658
22,1171016.737852658
23,1171016.737852658
24,1170644.171795451
25,1170061.0159702078
26,1169714.31083451
27,1172075.402908098
28,1172522.2272446288
29,1175983.1970533526
30,1172643.9641884451
31,1175616.8666468204
32,1171457.5021777365
33,1171347.9357770649
34,1174108.8819759581
35,1178259.141755645
36,1172942.090364319
37,1172855.3890888162
38,1177718.1579154725
39,1158276.2961987748
40,1161575.5960731432
41,1170195.7110251535
42,1180867.9780882555
43,1185025.8760025238
44,1181554.3892767092
45,1183289.5194813195
46,1181382.6828061254
47,1171471.7513327033
48,1171942.238212215
49,1174305.9421171937
50,1188526.039665296
51,1191659.9065271341
52,1186756.0257352025
53,1188798.6855848853
54,1187609.8901151353
55,1187609.8901151353
56,1187609.8901151353
57,1181628.7508885344
58,1183964.3662853693
59,1195424.0338497395
60,1195388.6482651867
61,1204436.7921681516
62,1209036.7848242195
